#"gene","transcript","protein"
"ENSRNOG00000011226.7","ENSRNOT00000015043.7","ENSRNOP00000015043.6"
"ENSRNOG00000053456.1","ENSRNOT00000078304.1","ENSRNOP00000069114.1"
"ENSRNOG00000002332.7","ENSRNOT00000003192.6","ENSRNOP00000003192.3"
"ENSRNOG00000019176.6","ENSRNOT00000025923.6","ENSRNOP00000067483.1"
"ENSRNOG00000002419.6","ENSRNOT00000003283.6","ENSRNOP00000003283.4"
"ENSRNOG00000046230.1","ENSRNOT00000068228.2","ENSRNOP00000062697.2"
"ENSRNOG00000029010.4","ENSRNOT00000040231.4","ENSRNOP00000049315.3"
"ENSRNOG00000000869.7","ENSRNOT00000001158.7","ENSRNOP00000001158.7"
"ENSRNOG00000050331.1","ENSRNOT00000074830.1",""
"ENSRNOG00000051727.1","ENSRNOT00000085657.1",""
"ENSRNOG00000049849.2","ENSRNOT00000071973.2","ENSRNOP00000064173.2"
"ENSRNOG00000004265.7","ENSRNOT00000005659.6","ENSRNOP00000005659.6"
"ENSRNOG00000054765.1","ENSRNOT00000083442.1","ENSRNOP00000069721.1"
"ENSRNOG00000016622.6","ENSRNOT00000022525.6","ENSRNOP00000022525.3"
"ENSRNOG00000051544.1","ENSRNOT00000078275.1",""
"ENSRNOG00000036245.1","ENSRNOT00000054368.1",""
"ENSRNOG00000054153.1","ENSRNOT00000078912.1",""
"ENSRNOG00000052691.1","ENSRNOT00000080798.1",""
"ENSRNOG00000028085.6","ENSRNOT00000077697.1","ENSRNOP00000070429.1"
"ENSRNOG00000028085.6","ENSRNOT00000036472.6","ENSRNOP00000032797.4"
"ENSRNOG00000058558.1","ENSRNOT00000085868.1",""
"ENSRNOG00000051509.1","ENSRNOT00000085425.1",""
"ENSRNOG00000060023.1","ENSRNOT00000079089.1",""
"ENSRNOG00000002848.7","ENSRNOT00000066674.2","ENSRNOP00000063784.1"
"ENSRNOG00000045695.2","ENSRNOT00000067009.3","ENSRNOP00000059093.2"
"ENSRNOG00000010838.5","ENSRNOT00000039911.3","ENSRNOP00000048890.5"
"ENSRNOG00000053894.1","ENSRNOT00000085287.1",""
"ENSRNOG00000056524.1","ENSRNOT00000084088.1","ENSRNOP00000070359.1"
"ENSRNOG00000042823.1","ENSRNOT00000044379.3","ENSRNOP00000051365.3"
"ENSRNOG00000032803.5","ENSRNOT00000047936.5","ENSRNOP00000041966.3"
"ENSRNOG00000004330.5","ENSRNOT00000006008.5","ENSRNOP00000006008.5"
"ENSRNOG00000034183.4","ENSRNOT00000042552.4","ENSRNOP00000067248.1"
"ENSRNOG00000060546.1","ENSRNOT00000088896.1",""
"ENSRNOG00000058015.1","ENSRNOT00000079771.1",""
"ENSRNOG00000059253.1","ENSRNOT00000091852.1",""
"ENSRNOG00000040033.5","ENSRNOT00000061546.3","ENSRNOP00000058263.2"
"ENSRNOG00000046532.2","ENSRNOT00000073358.2",""
"ENSRNOG00000046062.2","ENSRNOT00000073176.2","ENSRNOP00000063975.2"
"ENSRNOG00000051948.1","ENSRNOT00000077142.1","ENSRNOP00000073793.1"
"ENSRNOG00000003949.7","ENSRNOT00000065678.3","ENSRNOP00000063787.3"
"ENSRNOG00000044409.1","ENSRNOT00000069676.1",""
"ENSRNOG00000052581.1","ENSRNOT00000080826.1","ENSRNOP00000071854.1"
"ENSRNOG00000050099.1","ENSRNOT00000075221.1",""
"ENSRNOG00000056774.1","ENSRNOT00000086568.1",""
"ENSRNOG00000056174.1","ENSRNOT00000077109.1","ENSRNOP00000072313.1"
"ENSRNOG00000052720.1","ENSRNOT00000085992.1",""
"ENSRNOG00000061805.1","ENSRNOT00000090347.1",""
"ENSRNOG00000004819.7","ENSRNOT00000006491.7","ENSRNOP00000006491.6"
"ENSRNOG00000004819.7","ENSRNOT00000078392.1","ENSRNOP00000072781.1"
"ENSRNOG00000058194.1","ENSRNOT00000084879.1",""
"ENSRNOG00000059514.1","ENSRNOT00000089562.1",""
"ENSRNOG00000055742.1","ENSRNOT00000082227.1","ENSRNOP00000073022.1"
"ENSRNOG00000058545.1","ENSRNOT00000085410.1","ENSRNOP00000069460.1"
"ENSRNOG00000046692.1","ENSRNOT00000071878.1",""
"ENSRNOG00000025910.5","ENSRNOT00000037862.5","ENSRNOP00000034552.4"
"ENSRNOG00000052559.1","ENSRNOT00000075010.2","ENSRNOP00000066723.2"
"ENSRNOG00000041845.1","ENSRNOT00000063598.1",""
"ENSRNOG00000047872.2","ENSRNOT00000070905.2",""
"ENSRNOG00000056326.1","ENSRNOT00000087675.1",""
"ENSRNOG00000005402.6","ENSRNOT00000007173.6",""
"ENSRNOG00000008472.7","ENSRNOT00000077453.1","ENSRNOP00000072756.1"
"ENSRNOG00000008472.7","ENSRNOT00000011317.6","ENSRNOP00000011317.5"
"ENSRNOG00000059814.1","ENSRNOT00000078280.1",""
"ENSRNOG00000059411.1","ENSRNOT00000084457.1",""
"ENSRNOG00000025811.6","ENSRNOT00000038909.6","ENSRNOP00000031039.4"
"ENSRNOG00000059720.1","ENSRNOT00000085907.1","ENSRNOP00000075360.1"
"ENSRNOG00000003858.6","ENSRNOT00000005138.6","ENSRNOP00000005138.4"
"ENSRNOG00000005012.7","ENSRNOT00000048022.5","ENSRNOP00000051553.5"
"ENSRNOG00000006797.7","ENSRNOT00000044435.5","ENSRNOP00000051158.5"
"ENSRNOG00000040189.2","ENSRNOT00000061851.2",""
"ENSRNOG00000011513.7","ENSRNOT00000015494.7","ENSRNOP00000015494.5"
"ENSRNOG00000041942.1","ENSRNOT00000063695.1",""
"ENSRNOG00000058431.1","ENSRNOT00000077881.1",""
"ENSRNOG00000002429.5","ENSRNOT00000003296.5","ENSRNOP00000003296.5"
"ENSRNOG00000052105.1","ENSRNOT00000089755.1",""
"ENSRNOG00000048143.1","ENSRNOT00000074865.1",""
"ENSRNOG00000055409.1","ENSRNOT00000081982.1",""
"ENSRNOG00000057593.1","ENSRNOT00000090992.1",""
"ENSRNOG00000060486.1","ENSRNOT00000087509.1","ENSRNOP00000068840.1"
"ENSRNOG00000004581.6","ENSRNOT00000006484.6","ENSRNOP00000006484.5"
"ENSRNOG00000039837.4","ENSRNOT00000061140.4","ENSRNOP00000057855.4"
"ENSRNOG00000005681.4","ENSRNOT00000007487.4","ENSRNOP00000074898.1"
"ENSRNOG00000024271.2","ENSRNOT00000029966.2","ENSRNOP00000031640.1"
"ENSRNOG00000009893.7","ENSRNOT00000013476.7","ENSRNOP00000013476.4"
"ENSRNOG00000003472.8","ENSRNOT00000051319.5","ENSRNOP00000048676.4"
"ENSRNOG00000055185.1","ENSRNOT00000087962.1","ENSRNOP00000070655.1"
"ENSRNOG00000003342.3","ENSRNOT00000004451.3","ENSRNOP00000045009.1"
"ENSRNOG00000026351.2","ENSRNOT00000035538.2","ENSRNOP00000035284.2"
"ENSRNOG00000055514.1","ENSRNOT00000088718.1",""
"ENSRNOG00000040445.1","ENSRNOT00000062198.1",""
"ENSRNOG00000041538.2","ENSRNOT00000063291.2",""
"ENSRNOG00000060509.1","ENSRNOT00000079320.1",""
"ENSRNOG00000034116.6","ENSRNOT00000064340.3","ENSRNOP00000059825.1"
"ENSRNOG00000034116.6","ENSRNOT00000087547.1","ENSRNOP00000074103.1"
"ENSRNOG00000034116.6","ENSRNOT00000051249.5","ENSRNOP00000048795.4"
"ENSRNOG00000034116.6","ENSRNOT00000087919.1","ENSRNOP00000075227.1"
"ENSRNOG00000048839.1","ENSRNOT00000071872.1",""
"ENSRNOG00000002585.6","ENSRNOT00000065023.2","ENSRNOP00000060639.1"
"ENSRNOG00000048059.2","ENSRNOT00000073396.2","ENSRNOP00000067324.2"
"ENSRNOG00000060291.1","ENSRNOT00000029285.5",""
"ENSRNOG00000052769.1","ENSRNOT00000089249.1","ENSRNOP00000069878.1"
"ENSRNOG00000003194.6","ENSRNOT00000004262.6",""
"ENSRNOG00000026157.6","ENSRNOT00000030771.6","ENSRNOP00000033754.4"
"ENSRNOG00000056492.1","ENSRNOT00000090969.1",""
"ENSRNOG00000047712.1","ENSRNOT00000074322.1","ENSRNOP00000065381.1"
"ENSRNOG00000056772.1","ENSRNOT00000079180.1","ENSRNOP00000073623.1"
"ENSRNOG00000048494.1","ENSRNOT00000073030.1",""
"ENSRNOG00000007345.7","ENSRNOT00000090918.1","ENSRNOP00000070184.1"
"ENSRNOG00000007345.7","ENSRNOT00000049482.4","ENSRNOP00000040549.4"
"ENSRNOG00000003956.8","ENSRNOT00000051655.6","ENSRNOP00000047194.4"
"ENSRNOG00000003956.8","ENSRNOT00000036502.6","ENSRNOP00000031485.6"
"ENSRNOG00000048303.1","ENSRNOT00000073882.1",""
"ENSRNOG00000036562.1","ENSRNOT00000054666.1",""
"ENSRNOG00000031956.5","ENSRNOT00000040168.5","ENSRNOP00000048952.5"
"ENSRNOG00000027994.4","ENSRNOT00000034056.3","ENSRNOP00000031307.2"
"ENSRNOG00000002291.8","ENSRNOT00000050336.6","ENSRNOP00000050434.5"
"ENSRNOG00000000871.6","ENSRNOT00000001162.4","ENSRNOP00000001162.2"
"ENSRNOG00000003786.6","ENSRNOT00000005165.6","ENSRNOP00000005165.4"
"ENSRNOG00000037399.3","ENSRNOT00000056598.3","ENSRNOP00000053437.3"
"ENSRNOG00000060900.1","ENSRNOT00000089992.1",""
"ENSRNOG00000004222.5","ENSRNOT00000005622.5","ENSRNOP00000005622.3"
"ENSRNOG00000061101.1","ENSRNOT00000084176.1","ENSRNOP00000074028.1"
"ENSRNOG00000055756.1","ENSRNOT00000091792.1","ENSRNOP00000070305.1"
"ENSRNOG00000003526.8","ENSRNOT00000004909.6","ENSRNOP00000004909.3"
"ENSRNOG00000003526.8","ENSRNOT00000004921.5","ENSRNOP00000004921.4"
"ENSRNOG00000029038.4","ENSRNOT00000048155.4","ENSRNOP00000044281.3"
"ENSRNOG00000048486.2","ENSRNOT00000071886.2","ENSRNOP00000067688.2"
"ENSRNOG00000052994.1","ENSRNOT00000088056.1",""
"ENSRNOG00000059363.1","ENSRNOT00000088098.1",""
"ENSRNOG00000061252.1","ENSRNOT00000077753.1",""
"ENSRNOG00000060899.1","ENSRNOT00000087583.1","ENSRNOP00000071590.1"
"ENSRNOG00000061508.1","ENSRNOT00000090041.1","ENSRNOP00000071890.1"
"ENSRNOG00000061508.1","ENSRNOT00000085993.1","ENSRNOP00000073149.1"
"ENSRNOG00000061508.1","ENSRNOT00000079365.1","ENSRNOP00000072143.1"
"ENSRNOG00000003984.5","ENSRNOT00000005331.5","ENSRNOP00000005331.3"
"ENSRNOG00000035635.1","ENSRNOT00000053758.1",""
"ENSRNOG00000060270.1","ENSRNOT00000088901.1",""
"ENSRNOG00000041822.1","ENSRNOT00000063575.1",""
"ENSRNOG00000052511.1","ENSRNOT00000088328.1",""
"ENSRNOG00000040357.1","ENSRNOT00000062110.1",""
"ENSRNOG00000004971.7","ENSRNOT00000006843.6","ENSRNOP00000006843.6"
"ENSRNOG00000047275.1","ENSRNOT00000070813.1",""
"ENSRNOG00000061366.1","ENSRNOT00000082703.1",""
"ENSRNOG00000031665.5","ENSRNOT00000080730.1","ENSRNOP00000070410.1"
"ENSRNOG00000031665.5","ENSRNOT00000049947.5","ENSRNOP00000047913.5"
"ENSRNOG00000004319.2","ENSRNOT00000005702.2",""
"ENSRNOG00000048613.2","ENSRNOT00000066373.3","ENSRNOP00000059538.2"
"ENSRNOG00000041236.1","ENSRNOT00000062989.1",""
"ENSRNOG00000023458.4","ENSRNOT00000038653.4","ENSRNOP00000038146.3"
"ENSRNOG00000053584.1","ENSRNOT00000078908.1",""
"ENSRNOG00000045182.1","ENSRNOT00000070449.1",""
"ENSRNOG00000061834.1","ENSRNOT00000085557.1",""
"ENSRNOG00000060421.1","ENSRNOT00000085101.1",""
"ENSRNOG00000042470.1","ENSRNOT00000042140.3","ENSRNOP00000047699.3"
"ENSRNOG00000003734.8","ENSRNOT00000004958.8","ENSRNOP00000004958.7"
"ENSRNOG00000051858.1","ENSRNOT00000072444.2","ENSRNOP00000066866.2"
"ENSRNOG00000029935.4","ENSRNOT00000047128.4","ENSRNOP00000047537.4"
"ENSRNOG00000042276.1","ENSRNOT00000068113.1","ENSRNOP00000062350.1"
"ENSRNOG00000003883.5","ENSRNOT00000005153.5","ENSRNOP00000005153.4"
"ENSRNOG00000038397.1","ENSRNOT00000058474.1","ENSRNOP00000055273.1"
"ENSRNOG00000053402.1","ENSRNOT00000078419.1","ENSRNOP00000068820.1"
"ENSRNOG00000003782.5","ENSRNOT00000005033.5","ENSRNOP00000005033.4"
"ENSRNOG00000047748.1","ENSRNOT00000075300.1","ENSRNOP00000066683.1"
"ENSRNOG00000052095.1","ENSRNOT00000079733.1",""
"ENSRNOG00000043755.1","ENSRNOT00000069022.1",""
"ENSRNOG00000055186.1","ENSRNOT00000088318.1",""
"ENSRNOG00000048840.2","ENSRNOT00000039874.5","ENSRNOP00000047124.5"
"ENSRNOG00000059999.1","ENSRNOT00000078954.1",""
"ENSRNOG00000003756.5","ENSRNOT00000005042.5","ENSRNOP00000005042.5"
"ENSRNOG00000048011.1","ENSRNOT00000072739.1","ENSRNOP00000065954.1"
"ENSRNOG00000047560.2","ENSRNOT00000049969.4","ENSRNOP00000048803.4"
"ENSRNOG00000049853.2","ENSRNOT00000074676.2","ENSRNOP00000065024.2"
"ENSRNOG00000011100.7","ENSRNOT00000014756.7","ENSRNOP00000014756.6"
"ENSRNOG00000060786.1","ENSRNOT00000087119.1",""
"ENSRNOG00000003611.7","ENSRNOT00000004808.7","ENSRNOP00000004808.4"
"ENSRNOG00000057365.1","ENSRNOT00000091082.1",""
"ENSRNOG00000059358.1","ENSRNOT00000091062.1",""
"ENSRNOG00000052479.1","ENSRNOT00000083986.1",""
"ENSRNOG00000058350.1","ENSRNOT00000078141.1",""
"ENSRNOG00000006632.7","ENSRNOT00000008938.6","ENSRNOP00000008938.5"
"ENSRNOG00000004531.4","ENSRNOT00000005981.4","ENSRNOP00000005981.4"
"ENSRNOG00000054784.1","ENSRNOT00000087679.1","ENSRNOP00000070549.1"
"ENSRNOG00000061230.1","ENSRNOT00000084390.1","ENSRNOP00000075314.1"
"ENSRNOG00000061230.1","ENSRNOT00000080945.1","ENSRNOP00000075170.1"
"ENSRNOG00000033335.5","ENSRNOT00000088172.1","ENSRNOP00000074172.1"
"ENSRNOG00000033335.5","ENSRNOT00000046288.4","ENSRNOP00000041317.4"
"ENSRNOG00000055207.1","ENSRNOT00000085379.1",""
"ENSRNOG00000048063.1","ENSRNOT00000071496.1",""
"ENSRNOG00000027601.4","ENSRNOT00000030400.2","ENSRNOP00000037132.1"
"ENSRNOG00000002391.6","ENSRNOT00000052302.4","ENSRNOP00000042161.3"
"ENSRNOG00000059144.1","ENSRNOT00000088857.1","ENSRNOP00000070860.1"
"ENSRNOG00000011034.7","ENSRNOT00000052009.4","ENSRNOP00000047217.4"
"ENSRNOG00000055812.1","ENSRNOT00000086133.1",""
"ENSRNOG00000053780.1","ENSRNOT00000078380.1","ENSRNOP00000074123.1"
"ENSRNOG00000037770.3","ENSRNOT00000041508.4","ENSRNOP00000045088.4"
"ENSRNOG00000024135.4","ENSRNOT00000042714.3","ENSRNOP00000050228.3"
"ENSRNOG00000056042.1","ENSRNOT00000080428.1",""
"ENSRNOG00000052022.1","ENSRNOT00000079424.1","ENSRNOP00000070839.1"
"ENSRNOG00000048598.1","ENSRNOT00000071059.1",""
"ENSRNOG00000061916.1","ENSRNOT00000080023.1",""
"ENSRNOG00000055009.1","ENSRNOT00000085668.1",""
"ENSRNOG00000055102.1","ENSRNOT00000088653.1","ENSRNOP00000070675.1"
"ENSRNOG00000040026.1","ENSRNOT00000061539.1","ENSRNOP00000058257.1"
"ENSRNOG00000046469.2","ENSRNOT00000072087.2","ENSRNOP00000067586.2"
"ENSRNOG00000057907.1","ENSRNOT00000088990.1",""
"ENSRNOG00000004574.6","ENSRNOT00000006074.6","ENSRNOP00000006074.5"
"ENSRNOG00000002784.6","ENSRNOT00000003724.6","ENSRNOP00000003724.4"
"ENSRNOG00000060534.1","ENSRNOT00000078404.1","ENSRNOP00000070545.1"
"ENSRNOG00000049961.1","ENSRNOT00000072460.1",""
"ENSRNOG00000040458.1","ENSRNOT00000062211.1",""
"ENSRNOG00000027239.3","ENSRNOT00000037439.3","ENSRNOP00000038996.2"
"ENSRNOG00000048590.1","ENSRNOT00000072847.1",""
"ENSRNOG00000006263.5","ENSRNOT00000008444.4","ENSRNOP00000008444.4"
"ENSRNOG00000052694.1","ENSRNOT00000084241.1",""
"ENSRNOG00000006871.5","ENSRNOT00000009637.5","ENSRNOP00000009637.4"
"ENSRNOG00000058173.1","ENSRNOT00000083615.1",""
"ENSRNOG00000060889.1","ENSRNOT00000091829.1",""
"ENSRNOG00000056924.1","ENSRNOT00000082189.1",""
"ENSRNOG00000052401.1","ENSRNOT00000091785.1",""
"ENSRNOG00000050456.1","ENSRNOT00000075048.1",""
"ENSRNOG00000032487.4","ENSRNOT00000051897.4","ENSRNOP00000043915.3"
"ENSRNOG00000057035.1","ENSRNOT00000086634.1",""
"ENSRNOG00000060936.1","ENSRNOT00000078438.1","ENSRNOP00000075158.1"
"ENSRNOG00000023005.4","ENSRNOT00000030692.4","ENSRNOP00000030641.2"
"ENSRNOG00000031222.5","ENSRNOT00000048467.3","ENSRNOP00000039887.3"
"ENSRNOG00000059655.1","ENSRNOT00000079980.1","ENSRNOP00000071452.1"
"ENSRNOG00000057147.1","ENSRNOT00000085397.1","ENSRNOP00000068878.1"
"ENSRNOG00000014992.6","ENSRNOT00000020364.6","ENSRNOP00000020364.5"
"ENSRNOG00000056135.1","ENSRNOT00000085118.1","ENSRNOP00000072713.1"
"ENSRNOG00000000881.6","ENSRNOT00000001179.6","ENSRNOP00000001179.3"
"ENSRNOG00000055774.1","ENSRNOT00000081532.1",""
"ENSRNOG00000004512.7","ENSRNOT00000005997.7","ENSRNOP00000005997.5"
"ENSRNOG00000053418.1","ENSRNOT00000088274.1",""
"ENSRNOG00000054339.1","ENSRNOT00000082022.1",""
"ENSRNOG00000004776.6","ENSRNOT00000006365.6","ENSRNOP00000006365.6"
"ENSRNOG00000055330.1","ENSRNOT00000077323.1",""
"ENSRNOG00000055330.1","ENSRNOT00000084627.1",""
"ENSRNOG00000049579.2","ENSRNOT00000071783.2","ENSRNOP00000067415.2"
"ENSRNOG00000028822.4","ENSRNOT00000045997.4","ENSRNOP00000042696.4"
"ENSRNOG00000058509.1","ENSRNOT00000089676.1",""
"ENSRNOG00000003435.7","ENSRNOT00000051550.5","ENSRNOP00000050503.5"
"ENSRNOG00000061686.1","ENSRNOT00000088324.1",""
"ENSRNOG00000051669.1","ENSRNOT00000086698.1","ENSRNOP00000071909.1"
"ENSRNOG00000058951.1","ENSRNOT00000077816.1",""
"ENSRNOG00000051885.1","ENSRNOT00000089027.1","ENSRNOP00000070901.1"
"ENSRNOG00000009049.7","ENSRNOT00000051956.5","ENSRNOP00000042897.5"
"ENSRNOG00000003929.7","ENSRNOT00000064458.3","ENSRNOP00000062902.2"
"ENSRNOG00000003929.7","ENSRNOT00000080386.1","ENSRNOP00000074621.1"
"ENSRNOG00000061493.1","ENSRNOT00000079405.1",""
"ENSRNOG00000045622.1","ENSRNOT00000075264.1","ENSRNOP00000067235.1"
"ENSRNOG00000060839.1","ENSRNOT00000083949.1","ENSRNOP00000073897.1"
"ENSRNOG00000052889.1","ENSRNOT00000086195.1",""
"ENSRNOG00000030645.2","ENSRNOT00000041969.2",""
"ENSRNOG00000053998.1","ENSRNOT00000090733.1",""
"ENSRNOG00000056968.1","ENSRNOT00000080692.1",""
"ENSRNOG00000054638.1","ENSRNOT00000077667.1","ENSRNOP00000074728.1"
"ENSRNOG00000061451.1","ENSRNOT00000088820.1",""
"ENSRNOG00000024053.6","ENSRNOT00000061058.3","ENSRNOP00000057774.3"
"ENSRNOG00000056398.1","ENSRNOT00000082159.1","ENSRNOP00000073540.1"
"ENSRNOG00000055454.1","ENSRNOT00000085068.1","ENSRNOP00000069009.1"
"ENSRNOG00000059593.1","ENSRNOT00000078929.1","ENSRNOP00000073318.1"
"ENSRNOG00000013321.7","ENSRNOT00000032275.6","ENSRNOP00000032402.5"
"ENSRNOG00000013321.7","ENSRNOT00000080517.1","ENSRNOP00000069314.1"
"ENSRNOG00000030880.4","ENSRNOT00000040165.4","ENSRNOP00000043184.4"
"ENSRNOG00000045757.1","ENSRNOT00000045436.3","ENSRNOP00000039557.3"
"ENSRNOG00000037736.2","ENSRNOT00000050903.3","ENSRNOP00000044014.3"
"ENSRNOG00000058743.1","ENSRNOT00000085721.1",""
"ENSRNOG00000045894.1","ENSRNOT00000071538.1",""
"ENSRNOG00000044284.1","ENSRNOT00000069551.1",""
"ENSRNOG00000031638.3","ENSRNOT00000050854.3","ENSRNOP00000061685.1"
"ENSRNOG00000030877.5","ENSRNOT00000065293.2","ENSRNOP00000060345.2"
"ENSRNOG00000030877.5","ENSRNOT00000090922.1","ENSRNOP00000070471.1"
"ENSRNOG00000033413.3","ENSRNOT00000040628.3","ENSRNOP00000064309.1"
"ENSRNOG00000054546.1","ENSRNOT00000091088.1",""
"ENSRNOG00000052130.1","ENSRNOT00000085536.1","ENSRNOP00000069504.1"
"ENSRNOG00000027850.6","ENSRNOT00000030146.6","ENSRNOP00000037344.6"
"ENSRNOG00000027850.6","ENSRNOT00000085079.1","ENSRNOP00000072628.1"
"ENSRNOG00000048304.1","ENSRNOT00000075063.1",""
"ENSRNOG00000061577.1","ENSRNOT00000088455.1",""
"ENSRNOG00000053104.1","ENSRNOT00000085741.1",""
"ENSRNOG00000041327.1","ENSRNOT00000063080.1",""
"ENSRNOG00000051700.1","ENSRNOT00000077351.1",""
"ENSRNOG00000003543.5","ENSRNOT00000004758.5","ENSRNOP00000004758.4"
"ENSRNOG00000046053.2","ENSRNOT00000048236.3","ENSRNOP00000051378.2"
"ENSRNOG00000003613.7","ENSRNOT00000086414.1","ENSRNOP00000072598.1"
"ENSRNOG00000003613.7","ENSRNOT00000004873.6","ENSRNOP00000004873.5"
"ENSRNOG00000030868.3","ENSRNOT00000045517.3","ENSRNOP00000046674.3"
"ENSRNOG00000047095.1","ENSRNOT00000074170.1","ENSRNOP00000064922.1"
"ENSRNOG00000032132.4","ENSRNOT00000051805.4","ENSRNOP00000048979.4"
"ENSRNOG00000055721.1","ENSRNOT00000086014.1","ENSRNOP00000068929.1"
"ENSRNOG00000055721.1","ENSRNOT00000086308.1","ENSRNOP00000071530.1"
"ENSRNOG00000055820.1","ENSRNOT00000078568.1",""
"ENSRNOG00000051895.1","ENSRNOT00000079952.1",""
"ENSRNOG00000054668.1","ENSRNOT00000080891.1",""
"ENSRNOG00000055153.1","ENSRNOT00000081568.1",""
"ENSRNOG00000005176.8","ENSRNOT00000045285.6","ENSRNOP00000042347.5"
"ENSRNOG00000023383.6","ENSRNOT00000039551.6","ENSRNOP00000029702.5"
"ENSRNOG00000023383.6","ENSRNOT00000091448.1","ENSRNOP00000074025.1"
"ENSRNOG00000057466.1","ENSRNOT00000080296.1",""
"ENSRNOG00000044954.1","ENSRNOT00000070221.1",""
"ENSRNOG00000060869.1","ENSRNOT00000092207.1","ENSRNOP00000070832.1"
"ENSRNOG00000009071.7","ENSRNOT00000012646.7","ENSRNOP00000012646.7"
"ENSRNOG00000059862.1","ENSRNOT00000091495.1","ENSRNOP00000071931.1"
"ENSRNOG00000059862.1","ENSRNOT00000082899.1","ENSRNOP00000068561.1"
"ENSRNOG00000039305.3","ENSRNOT00000060213.3","ENSRNOP00000056961.3"
"ENSRNOG00000010846.5","ENSRNOT00000015546.4","ENSRNOP00000015547.4"
"ENSRNOG00000004249.6","ENSRNOT00000005620.6","ENSRNOP00000005620.4"
"ENSRNOG00000005157.6","ENSRNOT00000066676.1","ENSRNOP00000062148.1"
"ENSRNOG00000030330.5","ENSRNOT00000045001.4","ENSRNOP00000042179.4"
"ENSRNOG00000037707.3","ENSRNOT00000029807.5","ENSRNOP00000035673.4"
"ENSRNOG00000051769.1","ENSRNOT00000079188.1",""
"ENSRNOG00000049175.2","ENSRNOT00000071329.2",""
"ENSRNOG00000037452.3","ENSRNOT00000056688.3","ENSRNOP00000053527.3"
"ENSRNOG00000003049.7","ENSRNOT00000043559.4","ENSRNOP00000043608.3"
"ENSRNOG00000039063.2","ENSRNOT00000059744.2","ENSRNOP00000056498.2"
"ENSRNOG00000056486.1","ENSRNOT00000091859.1","ENSRNOP00000069792.1"
"ENSRNOG00000030228.5","ENSRNOT00000041740.5",""
"ENSRNOG00000012787.7","ENSRNOT00000068431.2","ENSRNOP00000062249.1"
"ENSRNOG00000005430.4","ENSRNOT00000007194.4","ENSRNOP00000007194.3"
"ENSRNOG00000058763.1","ENSRNOT00000083080.1",""
"ENSRNOG00000051827.1","ENSRNOT00000088177.1",""
"ENSRNOG00000047960.1","ENSRNOT00000074140.1","ENSRNOP00000066233.1"
"ENSRNOG00000059697.1","ENSRNOT00000087073.1","ENSRNOP00000072815.1"
"ENSRNOG00000004009.6","ENSRNOT00000005604.5","ENSRNOP00000005604.3"
"ENSRNOG00000004124.6","ENSRNOT00000005559.6","ENSRNOP00000005559.4"
"ENSRNOG00000024068.6","ENSRNOT00000033044.6","ENSRNOP00000037931.6"
"ENSRNOG00000009746.6","ENSRNOT00000039809.5","ENSRNOP00000031627.4"
"ENSRNOG00000025383.6","ENSRNOT00000038352.6","ENSRNOP00000030279.6"
"ENSRNOG00000025383.6","ENSRNOT00000088802.1","ENSRNOP00000069789.1"
"ENSRNOG00000050178.2","ENSRNOT00000072727.2","ENSRNOP00000065125.2"
"ENSRNOG00000019180.6","ENSRNOT00000026057.6","ENSRNOP00000026057.5"
"ENSRNOG00000003370.7","ENSRNOT00000004686.3","ENSRNOP00000004686.1"
"ENSRNOG00000052123.1","ENSRNOT00000091066.1",""
"ENSRNOG00000050146.2","ENSRNOT00000066874.3","ENSRNOP00000060417.3"
"ENSRNOG00000050146.2","ENSRNOT00000080538.1","ENSRNOP00000070925.1"
"ENSRNOG00000053885.1","ENSRNOT00000077909.1",""
"ENSRNOG00000052961.1","ENSRNOT00000085433.1",""
"ENSRNOG00000056091.1","ENSRNOT00000085064.1",""
"ENSRNOG00000041256.2","ENSRNOT00000063009.2",""
"ENSRNOG00000060483.1","ENSRNOT00000091400.1",""
"ENSRNOG00000053721.1","ENSRNOT00000092164.1",""
"ENSRNOG00000060140.1","ENSRNOT00000089262.1",""
"ENSRNOG00000051704.1","ENSRNOT00000088234.1","ENSRNOP00000069186.1"
"ENSRNOG00000056313.1","ENSRNOT00000086604.1",""
"ENSRNOG00000007682.8","ENSRNOT00000029031.7","ENSRNOP00000031170.6"
"ENSRNOG00000007682.8","ENSRNOT00000010367.6","ENSRNOP00000010367.6"
"ENSRNOG00000050135.1","ENSRNOT00000063322.1",""
"ENSRNOG00000057906.1","ENSRNOT00000088440.1",""
"ENSRNOG00000061257.1","ENSRNOT00000078459.1",""
"ENSRNOG00000053800.1","ENSRNOT00000083165.1",""
"ENSRNOG00000049682.2","ENSRNOT00000071553.2",""
"ENSRNOG00000052635.1","ENSRNOT00000081700.1",""
"ENSRNOG00000007879.7","ENSRNOT00000010596.7","ENSRNOP00000010596.6"
"ENSRNOG00000051679.1","ENSRNOT00000077586.1",""
"ENSRNOG00000058507.1","ENSRNOT00000088855.1",""
"ENSRNOG00000030417.4","ENSRNOT00000048887.4","ENSRNOP00000044739.3"
"ENSRNOG00000057620.1","ENSRNOT00000092123.1","ENSRNOP00000074536.1"
"ENSRNOG00000058540.1","ENSRNOT00000089909.1",""
"ENSRNOG00000048299.1","ENSRNOT00000073519.1",""
"ENSRNOG00000046203.1","ENSRNOT00000075787.1",""
