"target.row"	"dist.to.feature"	"feature.name"	"feature.strand"	"qvalue"	"pvalue"
"6501"	533	5441	"ENSRNOT00000090245.1"	"-"	1.2074679051199e-12	2.46427120226625e-15
"2096"	534	34112	"ENSRNOT00000049525.4"	"-"	1.45824602165472e-12	2.98159533928279e-15
"315.1"	535	-6634	"ENSRNOT00000078541.1"	"-"	1.9779373024861e-12	4.05166870463838e-15
"3334"	536	-1308	"ENSRNOT00000052078.1"	"+"	1.98392587963027e-12	4.07144778986929e-15
"1623.1"	537	-120	"ENSRNOT00000085467.1"	"+"	2.05663130699657e-12	4.228442340849e-15
"1109.4"	538	12	"ENSRNOT00000091820.1"	"+"	2.17740147639037e-12	4.48499076916933e-15
"79"	539	18643	"ENSRNOT00000002851.7"	"-"	2.22768256345733e-12	4.5969941237815e-15
"397"	540	19077	"ENSRNOT00000029697.3"	"-"	2.28528676509387e-12	4.72451778259307e-15
"1683"	541	105	"ENSRNOT00000008982.4"	"-"	2.39955839667293e-12	4.97893002714451e-15
"1964"	542	2259	"ENSRNOT00000080280.1"	"+"	2.41889372939386e-12	5.02820845412435e-15
"958.11"	543	456	"ENSRNOT00000008601.6"	"-"	2.56221201640569e-12	5.33582888736358e-15
"1109.5"	544	50	"ENSRNOT00000091820.1"	"+"	2.63986085264828e-12	5.50752878159437e-15
"206"	545	-4469	"ENSRNOT00000078356.1"	"-"	3.09540038705191e-12	6.49307976529531e-15
"779"	546	4951	"ENSRNOT00000001153.4"	"+"	3.21493330176339e-12	6.75599144895487e-15
"1119"	547	14977	"ENSRNOT00000006373.4"	"-"	3.30425090020581e-12	6.95619822679368e-15
"1964.1"	548	2260	"ENSRNOT00000080280.1"	"+"	3.3326020888524e-12	7.02850241100921e-15
"2304"	549	202	"ENSRNOT00000012845.6"	"-"	5.65761558472238e-12	1.19748307526271e-14
"2120"	550	714	"ENSRNOT00000077173.1"	"+"	6.40286469256678e-12	1.35764583634948e-14
"330.1"	551	-17210	"ENSRNOT00000071426.2"	"-"	6.84466617398638e-12	1.45391585891028e-14
"2555"	552	-20382	"ENSRNOT00000008254.6"	"-"	7.34935047236575e-12	1.56390156645383e-14
"248"	553	-5204	"ENSRNOT00000076485.2"	"+"	8.56817585785701e-12	1.82650517588278e-14
"182"	554	17907	"ENSRNOT00000048602.4"	"-"	9.33682637257438e-12	1.99743139338478e-14
"960.1"	555	36327	"ENSRNOT00000001813.6"	"-"	9.60527192173868e-12	2.05849698886336e-14
"181"	556	29340	"ENSRNOT00000016906.5"	"+"	9.93759691699909e-12	2.13348000419451e-14
"414"	557	-33422	"ENSRNOT00000035512.6"	"-"	1.00141960162354e-11	2.15371664466404e-14
"145.21"	558	75636	"ENSRNOT00000022476.4"	"+"	1.11803123668756e-11	2.4129756198955e-14
"4903.3"	559	-37874	"ENSRNOT00000087307.1"	"-"	1.11904543662003e-11	2.41940163373072e-14
"1216"	560	-25120	"ENSRNOT00000033378.5"	"+"	1.43863931466748e-11	3.11581808653246e-14
"1109.6"	561	47	"ENSRNOT00000091820.1"	"+"	1.50695104526152e-11	3.26947414128642e-14
"314.1"	562	21098	"ENSRNOT00000079209.1"	"+"	2.03436905336284e-11	4.42146074874151e-14
"872"	563	154155	"ENSRNOT00000034654.4"	"+"	2.11212595584357e-11	4.59845349866611e-14
"2118"	564	-93684	"ENSRNOT00000036750.4"	"-"	2.20032572523247e-11	4.7988105014454e-14
"2122.1"	565	-14278	"ENSRNOT00000012328.6"	"+"	2.3756500089039e-11	5.19017991607997e-14
"1996"	566	15880	"ENSRNOT00000003295.4"	"-"	2.6830062329927e-11	5.87183253250037e-14
"931"	567	26926	"ENSRNOT00000086326.1"	"-"	2.83448977545381e-11	6.21409086288827e-14
"960.2"	568	36218	"ENSRNOT00000001813.6"	"-"	2.95724157376345e-11	6.49439855505247e-14
"257"	569	-137543	"ENSRNOT00000014941.6"	"-"	3.28112604840154e-11	7.24295205176034e-14
"417.3"	570	-28	"ENSRNOT00000086113.1"	"-"	3.77961819184902e-11	8.37197528346831e-14
"1091.2"	571	-968	"ENSRNOT00000088985.1"	"+"	4.15557756761093e-11	9.2204719292694e-14
"4811"	572	-12837	"ENSRNOT00000039383.4"	"-"	4.25779363806933e-11	9.46339244875541e-14
"1212"	573	3519	"ENSRNOT00000084040.1"	"+"	4.3632742881447e-11	9.71435525707546e-14
"960.3"	574	36337	"ENSRNOT00000001813.6"	"-"	4.47685972355657e-11	9.98419195507211e-14
"779.1"	575	4936	"ENSRNOT00000001153.4"	"+"	4.5856664951717e-11	1.02442134457465e-13
"1538"	576	-6531	"ENSRNOT00000085503.1"	"+"	4.75905746109766e-11	1.06495822032882e-13
"961"	577	-94919	"ENSRNOT00000038047.3"	"+"	5.50537836262377e-11	1.23405074672817e-13
"4311"	578	-27345	"ENSRNOT00000064418.2"	"-"	8.47818148755217e-11	1.90683579017856e-13
"555"	579	-13235	"ENSRNOT00000072288.2"	"-"	8.94229856084257e-11	2.01460669222472e-13
"2555.2"	580	-6017	"ENSRNOT00000015976.6"	"-"	9.16389735221257e-11	2.06800039030287e-13
"15"	581	18226	"ENSRNOT00000079703.1"	"+"	1.0151253845716e-10	2.29465902120161e-13
"1094"	582	7900	"ENSRNOT00000036933.4"	"+"	1.03400178994997e-10	2.34124366536293e-13
"2538"	583	1104	"ENSRNOT00000073795.1"	"+"	1.05845225822781e-10	2.40061346099095e-13
"417.4"	584	-48	"ENSRNOT00000086113.1"	"-"	1.13620789064559e-10	2.58126856274839e-13
"509"	585	-36912	"ENSRNOT00000051988.2"	"-"	1.14532951061482e-10	2.60632796388022e-13
"417.5"	586	-43	"ENSRNOT00000086113.1"	"-"	1.25283568187426e-10	2.85571423254322e-13
"8761"	587	-17337	"ENSRNOT00000030142.3"	"-"	1.29686867996172e-10	2.96099350573476e-13
"672.1"	588	38113	"ENSRNOT00000092147.1"	"+"	1.35708738112972e-10	3.10362249972387e-13
"2140"	589	-6199	"ENSRNOT00000083530.1"	"-"	1.85260184304031e-10	4.25088011222371e-13
"314.2"	590	21114	"ENSRNOT00000079209.1"	"+"	1.96759041829376e-10	4.52217672939832e-13
"573.1"	591	-22879	"ENSRNOT00000091434.1"	"+"	2.00168938788213e-10	4.60812665031746e-13
"397.1"	592	19018	"ENSRNOT00000029697.3"	"-"	2.22705943760379e-10	5.15225274171991e-13
"2731"	593	126735	"ENSRNOT00000086961.1"	"-"	2.3757963847845e-10	5.51434371213422e-13
"1326"	594	-14300	"ENSRNOT00000090822.1"	"+"	2.65372782067241e-10	6.16948466906003e-13
"690"	595	102000	"ENSRNOT00000083820.1"	"+"	2.83382303364868e-10	6.60963654558545e-13
"196"	596	51091	"ENSRNOT00000006562.3"	"+"	2.86022719845672e-10	6.68205178334199e-13
"523"	597	-3349	"ENSRNOT00000024021.6"	"-"	2.90889823713079e-10	6.80677106941915e-13
"12361"	598	26201	"ENSRNOT00000082627.1"	"+"	2.93490138347694e-10	6.87873062815961e-13
"1501"	599	24448	"ENSRNOT00000045356.3"	"-"	2.93696686086623e-10	6.89469210098777e-13
"1148"	600	114441	"ENSRNOT00000028972.3"	"-"	2.98323266480561e-10	7.01459928495501e-13
"963"	601	9568	"ENSRNOT00000088054.1"	"-"	3.01899232354791e-10	7.12154456209029e-13
"1109.7"	602	55	"ENSRNOT00000091820.1"	"+"	3.13031174000759e-10	7.39599008835647e-13
"6.2"	603	52613	"ENSRNOT00000048457.5"	"+"	3.25238157658961e-10	7.6967193412542e-13
"695"	604	250351	"ENSRNOT00000045047.3"	"+"	3.28929889078975e-10	7.79653822634296e-13
"520"	605	-51701	"ENSRNOT00000045460.2"	"-"	3.3167014724053e-10	7.87404813179136e-13
"61.1"	606	39875	"ENSRNOT00000081600.1"	"+"	3.33249394934951e-10	7.92415850560849e-13
"1643"	607	-8900	"ENSRNOT00000076148.1"	"-"	3.63399559765945e-10	8.65484277984096e-13
"775.1"	608	-29577	"ENSRNOT00000084119.1"	"+"	3.6856487947765e-10	8.79181698868209e-13
"821"	609	-31197	"ENSRNOT00000047029.3"	"+"	3.78949112504415e-10	9.05387291703263e-13
"940"	610	-70968	"ENSRNOT00000087652.1"	"-"	4.74359508784934e-10	1.1351384373266e-12
"1398"	611	1834	"ENSRNOT00000009402.6"	"+"	5.30594026635688e-10	1.27171621044218e-12
"2289"	612	5721	"ENSRNOT00000007946.6"	"+"	6.03460973040314e-10	1.44864705331702e-12
"683"	613	110574	"ENSRNOT00000044134.6"	"-"	6.06016152553243e-10	1.45707553395924e-12
"2123"	614	-23217	"ENSRNOT00000074793.2"	"-"	6.23447434342388e-10	1.50134706210547e-12
"906"	615	91797	"ENSRNOT00000047595.5"	"-"	6.3697931623247e-10	1.53634553793986e-12
"982.1"	616	14476	"ENSRNOT00000020946.4"	"+"	8.23738259336982e-10	1.99303183874417e-12
"2157.4"	617	84923	"ENSRNOT00000079354.1"	"+"	8.48290446329603e-10	2.05885966846195e-12
"1283"	618	212232	"ENSRNOT00000067690.2"	"+"	8.58999648111152e-10	2.08810414160114e-12
"9261"	619	11400	"ENSRNOT00000001403.4"	"+"	9.17176436126807e-10	2.23299629307802e-12
"615"	620	-5905	"ENSRNOT00000026499.5"	"-"	9.48866994105278e-10	2.31374422777636e-12
"390"	621	-7106	"ENSRNOT00000012271.4"	"-"	9.72508815020607e-10	2.37507540280828e-12
"3722"	622	110390	"ENSRNOT00000079044.1"	"-"	9.8772212958966e-10	2.41596947534729e-12
"23"	623	-61698	"ENSRNOT00000044800.2"	"+"	1.00178699583391e-09	2.45416530025471e-12
"614"	624	282627	"ENSRNOT00000080022.1"	"+"	1.04579721099936e-09	2.56594076213208e-12
"2349"	625	-931	"ENSRNOT00000023097.4"	"+"	1.04660900022627e-09	2.5718954058763e-12
"4671"	626	13718	"ENSRNOT00000002746.6"	"-"	1.1167777569071e-09	2.74855386719468e-12
"850"	627	-117951	"ENSRNOT00000002346.7"	"-"	1.16326250949885e-09	2.87176876829466e-12
"396"	628	-114206	"ENSRNOT00000077103.1"	"-"	1.16641776644013e-09	2.8839747127622e-12
"735"	629	-2070	"ENSRNOT00000027083.5"	"-"	1.28423722972727e-09	3.18014663064132e-12
"397.2"	630	19029	"ENSRNOT00000029697.3"	"-"	1.3412004616604e-09	3.32628253131512e-12
"2130"	631	42966	"ENSRNOT00000083547.1"	"-"	1.36569626052768e-09	3.39220508162382e-12
"19851"	632	-23655	"ENSRNOT00000030502.5"	"-"	1.45073393595157e-09	3.60892021276463e-12
"66.3"	633	-34364	"ENSRNOT00000064721.2"	"-"	1.47200553983062e-09	3.66741011816397e-12
"1432"	634	32199	"ENSRNOT00000083721.1"	"-"	1.6615846550512e-09	4.14602606582645e-12
"13261"	635	-139073	"ENSRNOT00000081155.1"	"-"	1.72389583885561e-09	4.30803375686701e-12
"54.2"	636	11576	"ENSRNOT00000002867.4"	"+"	1.74570672316768e-09	4.36914929336291e-12
"1643.1"	637	-8911	"ENSRNOT00000076148.1"	"-"	1.76223034813292e-09	4.41717704280378e-12
"2592"	638	-3866	"ENSRNOT00000091713.1"	"-"	1.79074302458377e-09	4.49542687220328e-12
"1132"	639	-20728	"ENSRNOT00000054503.1"	"+"	1.86418435618596e-09	4.68685026877905e-12
"37"	640	111066	"ENSRNOT00000071318.2"	"-"	1.87142999533527e-09	4.71215288004065e-12
"19811"	641	-7516	"ENSRNOT00000015188.4"	"-"	1.98125096585067e-09	4.99617752300325e-12
"294"	642	-106977	"ENSRNOT00000087089.1"	"+"	2.01439425160484e-09	5.08738316069378e-12
"6701"	643	4665	"ENSRNOT00000082895.1"	"-"	2.116275841883e-09	5.35269968190995e-12
"1985.1"	644	-23588	"ENSRNOT00000030502.5"	"-"	2.20089919551567e-09	5.5750710976205e-12
"391.1"	645	-26283	"ENSRNOT00000072856.2"	"+"	2.57341039635825e-09	6.52841861746905e-12
"2490"	646	39967	"ENSRNOT00000006483.5"	"+"	2.6881423905841e-09	6.82965758867945e-12
"1038"	647	-32153	"ENSRNOT00000091835.1"	"+"	2.77493465446933e-09	7.06067423381122e-12
"861"	648	217	"ENSRNOT00000038660.5"	"+"	2.94865966004383e-09	7.51387305239982e-12
"2123.1"	649	-23216	"ENSRNOT00000074793.2"	"-"	2.95744505265965e-09	7.54745829269577e-12
"804"	650	46217	"ENSRNOT00000086347.1"	"+"	2.95828269850172e-09	7.56079716244045e-12
"2206.2"	651	2290	"ENSRNOT00000090976.1"	"-"	2.96672952656382e-09	7.59361878156517e-12
"1046"	652	12086	"ENSRNOT00000011948.4"	"-"	3.18267155030272e-09	8.15839317818099e-12
"3711"	653	31718	"ENSRNOT00000084453.1"	"+"	3.54216859123996e-09	9.0933323111846e-12
"2623.1"	654	82177	"ENSRNOT00000003511.6"	"+"	3.68263244348285e-09	9.46787008325181e-12
"5047.1"	655	8094	"ENSRNOT00000089531.1"	"-"	3.85145812851525e-09	9.93107892678899e-12
"1062"	656	-2224	"ENSRNOT00000074081.2"	"-"	3.95501416944806e-09	1.02130758941829e-11
"3197"	657	2466	"ENSRNOT00000000474.6"	"+"	4.03235213036618e-09	1.04280545631427e-11
"1079"	658	2822	"ENSRNOT00000087265.1"	"-"	4.05856279719754e-09	1.05112051543039e-11
"671"	659	-102756	"ENSRNOT00000069841.1"	"-"	4.10862344848255e-09	1.06564132207845e-11
"1565"	660	359459	"ENSRNOT00000019340.2"	"+"	4.15941428613437e-09	1.08196461327299e-11
"636.1"	661	35353	"ENSRNOT00000077589.1"	"-"	4.31624267078428e-09	1.12602806922246e-11
"3471"	662	1834	"ENSRNOT00000042528.4"	"-"	4.45986195633419e-09	1.16518436374114e-11
"447.2"	663	-17783	"ENSRNOT00000026643.7"	"+"	4.57072570468135e-09	1.19587929745582e-11
"2591.1"	664	15225	"ENSRNOT00000055570.3"	"-"	4.83305930025567e-09	1.26634593052329e-11
"118"	665	266099	"ENSRNOT00000071435.2"	"+"	4.93187050870589e-09	1.29410358589945e-11
"9121"	666	9382	"ENSRNOT00000040641.2"	"-"	4.93509088833755e-09	1.29681721365427e-11
"1826"	667	-22665	"ENSRNOT00000090358.1"	"-"	5.30468565765386e-09	1.39594593751837e-11
"1074"	668	-106664	"ENSRNOT00000021176.4"	"-"	5.43567064229581e-09	1.43247322957691e-11
"831"	669	62341	"ENSRNOT00000090891.1"	"-"	5.90262715914138e-09	1.55776617937072e-11
"1620"	670	-2765	"ENSRNOT00000062962.1"	"+"	6.44902013689909e-09	1.70684879366352e-11
"1042"	671	33242	"ENSRNOT00000087108.1"	"-"	6.56263414681968e-09	1.73940364054119e-11
"115"	672	-9532	"ENSRNOT00000023787.5"	"+"	6.82994928769943e-09	1.81542675651019e-11
"1362"	673	18395	"ENSRNOT00000074856.3"	"-"	6.98060003276657e-09	1.85811342333286e-11
"353.2"	674	-190761	"ENSRNOT00000072777.1"	"+"	7.03151600250582e-09	1.87432876119969e-11
"340"	675	-4509	"ENSRNOT00000075684.2"	"+"	7.29939130999717e-09	1.94849772899938e-11
"866"	676	72913	"ENSRNOT00000016112.7"	"+"	7.4859919554414e-09	2.00397782090804e-11
"2591.2"	677	15173	"ENSRNOT00000055570.3"	"-"	7.87992424440223e-09	2.11539960182906e-11
"202"	678	-33636	"ENSRNOT00000085275.1"	"+"	8.79506413336812e-09	2.36440299153984e-11
"50"	679	15678	"ENSRNOT00000008019.6"	"+"	9.5915413026253e-09	2.58215401603678e-11
"21"	680	13578	"ENSRNOT00000008477.5"	"+"	9.76960278004291e-09	2.63577178829001e-11
"417.6"	681	-39	"ENSRNOT00000086113.1"	"-"	9.76960278004291e-09	2.63748851296558e-11
"2760"	682	7700	"ENSRNOT00000077581.1"	"+"	1.03602364783932e-08	2.8047867758633e-11
"595.1"	683	-1967	"ENSRNOT00000036563.4"	"+"	1.07864708188682e-08	2.9331939152821e-11
"1161"	684	14774	"ENSRNOT00000086012.1"	"+"	1.07864708188682e-08	2.93651622013406e-11
"3321"	685	-9762	"ENSRNOT00000016009.5"	"+"	1.07864708188682e-08	2.93356721739381e-11
"2016"	686	10689	"ENSRNOT00000020815.5"	"-"	1.07864708188682e-08	2.93118705140476e-11
"1451"	687	-28003	"ENSRNOT00000082859.1"	"-"	1.14973336934799e-08	3.13439534395891e-11
"451"	688	-68278	"ENSRNOT00000083226.1"	"+"	1.17101861242088e-08	3.19685695069663e-11
"574"	689	15871	"ENSRNOT00000055318.4"	"+"	1.21610575106092e-08	3.32454855836018e-11
"1803"	690	20946	"ENSRNOT00000090249.1"	"+"	1.27724898890934e-08	3.49653601270159e-11
"1574"	691	-35539	"ENSRNOT00000086448.1"	"-"	1.29567249145607e-08	3.55187722376097e-11
"9711"	692	6225	"ENSRNOT00000000249.6"	"+"	1.52927402319148e-08	4.19804856940327e-11
"202.1"	693	-33620	"ENSRNOT00000085275.1"	"+"	1.61101807615546e-08	4.42854615019473e-11
"13031"	694	8831	"ENSRNOT00000091478.1"	"-"	1.64769327059405e-08	4.53560180675572e-11
"5047.2"	695	131394	"ENSRNOT00000089531.1"	"-"	1.65118403967934e-08	4.55771485830385e-11
"732"	696	24083	"ENSRNOT00000089657.1"	"-"	1.83662649644398e-08	5.07654039567845e-11
"1985.2"	697	-23599	"ENSRNOT00000030502.5"	"-"	1.8690066593259e-08	5.17311778132987e-11
"600"	698	35382	"ENSRNOT00000002684.5"	"-"	1.98374910547859e-08	5.50572935966185e-11
"2537"	699	5034	"ENSRNOT00000093039.1"	"+"	2.05585316907864e-08	5.72089411077911e-11
"2157.5"	700	84888	"ENSRNOT00000079354.1"	"+"	2.05585316907864e-08	5.72141662486062e-11
"146"	701	-19378	"ENSRNOT00000001334.6"	"+"	2.16199727312462e-08	6.02500063427412e-11
"1133"	702	25509	"ENSRNOT00000050138.2"	"-"	2.22732327187085e-08	6.21548300627031e-11
"970"	703	-150725	"ENSRNOT00000077887.1"	"-"	2.35005064491036e-08	6.56685949607883e-11
"2190"	704	-5416	"ENSRNOT00000077672.1"	"-"	2.41525932517309e-08	6.75822033466272e-11
"4903.4"	705	-37880	"ENSRNOT00000087307.1"	"-"	2.5376073157175e-08	7.11017480679481e-11
"1302"	706	98594	"ENSRNOT00000089275.1"	"-"	2.55049676090206e-08	7.15594716046262e-11
"668.1"	707	-18686	"ENSRNOT00000046142.3"	"+"	2.5580594193591e-08	7.18685154960952e-11
"1338"	708	2251	"ENSRNOT00000089192.1"	"+"	2.66048571170768e-08	7.48469117030764e-11
"411"	709	120106	"ENSRNOT00000080973.1"	"+"	2.71117079559107e-08	7.64006826957633e-11
"476"	710	-74762	"ENSRNOT00000066218.2"	"-"	2.71117079559107e-08	7.64781354478286e-11
"433"	711	40042	"ENSRNOT00000010308.7"	"+"	2.75945396046851e-08	7.79446158224392e-11
"2415"	712	8112	"ENSRNOT00000026237.5"	"+"	2.9007875505765e-08	8.20466145111825e-11
"13372"	713	-26873	"ENSRNOT00000010415.6"	"-"	3.18596536791096e-08	9.02332893302016e-11
"1786"	714	22396	"ENSRNOT00000093640.1"	"+"	3.56500321407809e-08	1.01103428752942e-10
"3831"	715	-32765	"ENSRNOT00000093396.1"	"+"	3.58812782541962e-08	1.01895102462454e-10
"820"	716	-63878	"ENSRNOT00000089084.1"	"-"	3.67210480283056e-08	1.04418907582718e-10
"2122.2"	717	-14267	"ENSRNOT00000012328.6"	"+"	3.71559962873647e-08	1.0579640054532e-10
"705"	718	1645	"ENSRNOT00000017857.6"	"-"	3.79936147471085e-08	1.08325257899399e-10
"4903.5"	719	-37961	"ENSRNOT00000087307.1"	"-"	3.83988596160633e-08	1.0962606193701e-10
"5047.3"	720	8095	"ENSRNOT00000089531.1"	"-"	3.86094358277526e-08	1.10519622265132e-10
"2623"	721	16606	"ENSRNOT00000087371.1"	"+"	4.05312191793253e-08	1.16174199271806e-10
"2157.6"	722	84958	"ENSRNOT00000079354.1"	"+"	4.15801887971593e-08	1.19338288023174e-10
"630"	723	-13474	"ENSRNOT00000089464.1"	"-"	4.31132021862789e-08	1.23901395390966e-10
"405"	724	37924	"ENSRNOT00000072661.1"	"+"	4.69669454039329e-08	1.3515435643393e-10
"115.1"	725	-9552	"ENSRNOT00000023787.5"	"+"	4.77795623531258e-08	1.37673693872982e-10
"555.1"	726	-12981	"ENSRNOT00000072288.2"	"-"	4.86134945214004e-08	1.4026068418598e-10
"860"	727	-85314	"ENSRNOT00000077969.1"	"-"	4.8768551265908e-08	1.40892713432874e-10
"861.1"	728	220	"ENSRNOT00000038660.5"	"+"	4.88232919287903e-08	1.41235723133887e-10
"314.3"	729	21101	"ENSRNOT00000079209.1"	"+"	5.34652547083188e-08	1.55271284176876e-10
"5701"	730	55538	"ENSRNOT00000080396.1"	"+"	5.43228910250107e-08	1.57967678409464e-10
"926"	731	-109166	"ENSRNOT00000031993.6"	"+"	5.6072529066433e-08	1.63267831786251e-10
"1198"	732	52235	"ENSRNOT00000006906.3"	"-"	5.63505245351528e-08	1.64290642847103e-10
"219"	733	58485	"ENSRNOT00000076716.1"	"-"	5.95911091867694e-08	1.7396424155116e-10
"3762"	734	30941	"ENSRNOT00000084703.1"	"+"	6.0366948135355e-08	1.76457719281913e-10
"2099.2"	735	136251	"ENSRNOT00000085431.1"	"-"	6.04355260422676e-08	1.76887010168671e-10
"691.1"	736	51266	"ENSRNOT00000090509.1"	"+"	6.14041927769763e-08	1.79954672666864e-10
"2861"	737	-4923	"ENSRNOT00000071293.1"	"+"	6.16163114408936e-08	1.80809622609358e-10
"1225"	738	5884	"ENSRNOT00000032528.2"	"-"	6.49448234221777e-08	1.90822860759083e-10
"1718"	739	-30395	"ENSRNOT00000072624.2"	"-"	6.71982827210309e-08	1.97698481793763e-10
"5047.4"	740	8113	"ENSRNOT00000089531.1"	"-"	7.28377695824277e-08	2.14565738749137e-10
"646.1"	741	-33789	"ENSRNOT00000061569.4"	"-"	7.51114024232024e-08	2.21547814047759e-10
"1623.2"	742	-127	"ENSRNOT00000085467.1"	"+"	7.91365536034838e-08	2.34319281322012e-10
"385"	743	19212	"ENSRNOT00000008138.4"	"-"	8.4023760921346e-08	2.49108197681442e-10
"1813"	744	5135	"ENSRNOT00000057986.4"	"-"	8.55817254110366e-08	2.54051194662131e-10
"2974"	745	-42357	"ENSRNOT00000078777.1"	"+"	8.90874851975912e-08	2.64795437104079e-10
"460"	746	11482	"ENSRNOT00000090980.1"	"-"	9.07831094564102e-08	2.70179093809278e-10
"131.3"	747	-242004	"ENSRNOT00000023172.7"	"-"	9.20041769084025e-08	2.74161468412449e-10
"1890"	748	7335	"ENSRNOT00000091765.1"	"+"	9.21609528390024e-08	2.74977598320755e-10
"636.2"	749	35361	"ENSRNOT00000077589.1"	"-"	9.43084939306876e-08	2.81742233664056e-10
"119"	750	-110006	"ENSRNOT00000084707.1"	"+"	9.60677151501953e-08	2.87361573958062e-10
"97"	751	3483	"ENSRNOT00000031896.6"	"+"	1.00642789081109e-07	3.01717531994943e-10
"495"	752	-10830	"ENSRNOT00000017878.6"	"+"	1.00642789081109e-07	3.01808860819215e-10
"9262"	753	-84	"ENSRNOT00000072497.2"	"-"	1.01071225144142e-07	3.03476354285303e-10
"960.4"	754	36282	"ENSRNOT00000001813.6"	"-"	1.01266769256221e-07	3.04446929250219e-10
"3501"	755	-177	"ENSRNOT00000018232.4"	"+"	1.02704359654633e-07	3.0915775761342e-10
"1423"	756	-200057	"ENSRNOT00000079425.1"	"-"	1.04614986077559e-07	3.15305183253537e-10
"668.2"	757	-18682	"ENSRNOT00000046142.3"	"+"	1.11155335409865e-07	3.35438398295862e-10
"2137"	758	-4293	"ENSRNOT00000078569.1"	"-"	1.11384328395607e-07	3.36551183949613e-10
"2948"	759	6904	"ENSRNOT00000016445.5"	"+"	1.15209597690435e-07	3.48981807635264e-10
"162"	760	19709	"ENSRNOT00000015813.6"	"+"	1.22307907011327e-07	3.70946426137402e-10
"861.2"	761	229	"ENSRNOT00000038660.5"	"+"	1.26119641149247e-07	3.82984533250434e-10
"1735"	762	-8164	"ENSRNOT00000063432.1"	"-"	1.31799007130098e-07	4.00729970743579e-10
"262"	763	24594	"ENSRNOT00000067389.2"	"-"	1.32769307835589e-07	4.04182848874294e-10
"314.4"	764	21070	"ENSRNOT00000079209.1"	"+"	1.36761407590973e-07	4.1685362564244e-10
"2206.3"	765	2879	"ENSRNOT00000090976.1"	"-"	1.41527122653709e-07	4.31915569742837e-10
"2073"	766	-15928	"ENSRNOT00000075983.2"	"-"	1.62433047793073e-07	4.98358395349115e-10
"94"	767	-24500	"ENSRNOT00000003277.4"	"-"	1.63836828476108e-07	5.03722908599492e-10
"1720"	768	9862	"ENSRNOT00000081908.1"	"-"	1.74524168311584e-07	5.37242378845876e-10
"3133"	769	32150	"ENSRNOT00000086091.1"	"-"	1.74663709429079e-07	5.38333275060765e-10
"6221"	770	-70286	"ENSRNOT00000082584.1"	"+"	1.7665764752871e-07	5.4514771033057e-10
"591"	771	358790	"ENSRNOT00000082268.1"	"+"	1.81216364287695e-07	5.59901605100474e-10
"320"	772	30162	"ENSRNOT00000084020.1"	"+"	1.89463690572691e-07	5.86100632428297e-10
"295.1"	773	37000	"ENSRNOT00000055664.3"	"-"	2.30283211655833e-07	7.14990499140838e-10
"211"	774	2387	"ENSRNOT00000010790.4"	"-"	2.40961942987622e-07	7.49058530661048e-10
"701"	775	-30373	"ENSRNOT00000049285.6"	"+"	2.49337237635922e-07	7.76038204199602e-10
"1240"	776	32139	"ENSRNOT00000013088.5"	"-"	2.5212904148467e-07	7.85682081771588e-10
"1364"	777	85400	"ENSRNOT00000083568.1"	"+"	2.60134428980562e-07	8.11613360569707e-10
"310"	778	-17972	"ENSRNOT00000022507.5"	"-"	2.61928234123011e-07	8.18201750538744e-10
"7151"	779	-10169	"ENSRNOT00000073610.1"	"-"	2.65591091064506e-07	8.30649276528395e-10
"775.2"	780	-29626	"ENSRNOT00000084119.1"	"+"	2.66916670692921e-07	8.35805740206464e-10
"431"	781	59337	"ENSRNOT00000085292.1"	"-"	2.95093085206569e-07	9.25152891539577e-10
"457"	782	42437	"ENSRNOT00000084302.1"	"+"	2.98334402375735e-07	9.3644442432016e-10
"1306"	783	-21470	"ENSRNOT00000057752.3"	"+"	3.00311365112214e-07	9.43787022473794e-10
"1168"	784	14059	"ENSRNOT00000077241.1"	"+"	3.13803163309003e-07	9.8737580693459e-10
"25"	785	-12119	"ENSRNOT00000024099.6"	"+"	3.33304235322696e-07	1.04999758303004e-09
"11381"	786	-9669	"ENSRNOT00000054552.1"	"+"	3.34622295665198e-07	1.05541683302024e-09
"2995"	787	21367	"ENSRNOT00000016455.3"	"-"	3.3566815491007e-07	1.06121833954244e-09
"2130.1"	788	42960	"ENSRNOT00000083547.1"	"-"	3.3566815491007e-07	1.06125746373388e-09
"4781"	789	-9865	"ENSRNOT00000012176.3"	"-"	3.45421301071389e-07	1.09470906514246e-09
"3133.1"	790	32151	"ENSRNOT00000086091.1"	"-"	3.52424777974307e-07	1.11957330957848e-09
"10381"	791	20839	"ENSRNOT00000091250.1"	"+"	3.58448838794815e-07	1.14006760309735e-09
"2308"	792	7245	"ENSRNOT00000023872.4"	"+"	3.64288900222704e-07	1.16140093382691e-09
"1343"	793	-331	"ENSRNOT00000082950.1"	"+"	3.6562702061655e-07	1.16705144032138e-09
"3312"	794	-23387	"ENSRNOT00000085755.1"	"+"	3.69176562124953e-07	1.17977912805006e-09
"120"	795	32452	"ENSRNOT00000002745.3"	"-"	3.69693663869746e-07	1.18283143283308e-09
"1685.2"	796	17273	"ENSRNOT00000019902.5"	"+"	3.69872823005167e-07	1.1848051296942e-09
"8731"	797	-1455	"ENSRNOT00000073551.1"	"-"	3.70242661023524e-07	1.18739170255876e-09
